code,name,description,unit_code,unit_name,unit_sigla,is_active
00010100,"IMPORTACIONES CARACTER RESERVADO FF.AA,CARABINEROS E INVESTIGACIONES","IMPORTACIONES CARACTER RESERVADO FF.AA,CARABINEROS E INVESTIGACIONES",6,KILOGRAMO NETO,KN,true
00019900,"OTROS PERTRECHOS ESTADO CONSIGNADOS FF.AA,CARABINEROS E INVESTIGACIONES","OTROS PERTRECHOS ESTADO CONSIGNADOS FF.AA,CARABINEROS E INVESTIGACIONES",6,KILOGRAMO NETO,KN,true
00020000,ARREOS MILITARES Y ARTICULOS FABRICACION UNIFORMES IMPORTADOS POR FF.AA.,ARREOS MILITARES Y ARTICULOS FABRICACION UNIFORMES IMPORTADOS POR FF.AA.,6,KILOGRAMO NETO,KN,true
00030000,"REPUESTOS, ACCESORIOS Y/O ELEMENTOS PARA AVIONES,MAESTRANZAS,AEROPUERTOS","REPUESTOS, ACCESORIOS Y/O ELEMENTOS PARA AVIONES,MAESTRANZAS,AEROPUERTOS",6,KILOGRAMO NETO,KN,true
00040100,"EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES MINISTERIO RR.EE.","EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES MINISTERIO RR.EE.",6,KILOGRAMO NETO,KN,true
00040200,"EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES MINISTERIO DE DEFENSA","EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES MINISTERIO DE DEFENSA",6,KILOGRAMO NETO,KN,true
00040300,"EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES ORGANISMOS INTERNAC.","EFECTOS,MENAJE,EMBARCACION,VEHICULO EE.DEPENDIENTES ORGANISMOS INTERNAC.",6,KILOGRAMO NETO,KN,true
00040400,"EFECTOS,MENAJE,EMBARCACION,VEHICULO EE. DE EMPRESAS DEL ESTADO","EFECTOS,MENAJE,EMBARCACION,VEHICULO EE. DE EMPRESAS DEL ESTADO",6,KILOGRAMO NETO,KN,true
00040500,MENAJE ADQUIRIDO PERSONAL MINISTERIO DEFENSA COMISION SERVICIO EXTRANJERO,MENAJE ADQUIRIDO PERSONAL MINISTERIO DEFENSA COMISION SERVICIO EXTRANJERO,3,1000 KILOWATT HORA,MKWH,true
00050000,EFECTOS PARA JEFES MISION Y FUNCIONARIOS ACREDITADOS ANTE GOBIERNO CHILE,EFECTOS PARA JEFES MISION Y FUNCIONARIOS ACREDITADOS ANTE GOBIERNO CHILE,,,,true
00060000,HASTA 3 UNIFORMES COMPLETOS ANUALES PERSONAL FF.AA O POLICIALES EXTRANJERA,HASTA 3 UNIFORMES COMPLETOS ANUALES PERSONAL FF.AA O POLICIALES EXTRANJERA,6,KILOGRAMO NETO,KN,true
00070000,EFECTOS PARA FINES SERVICIOS DE REPRESENTANTES PAISES EXTRANJEROS,EFECTOS PARA FINES SERVICIOS DE REPRESENTANTES PAISES EXTRANJEROS,6,KILOGRAMO NETO,KN,true
00080101,PAPELES E IMPRESOS SIN VALOR COMERCIAL,PAPELES E IMPRESOS SIN VALOR COMERCIAL,6,KILOGRAMO NETO,KN,true
00080199,LOS DEMAS PAPELES E IMPRESOS CONSIGNADOS AL GOB. SERV. PUBLI O ENTIDADES PUBLI,LOS DEMAS PAPELES E IMPRESOS CONSIGNADOS AL GOB. SERV. PUBLI O ENTIDADES PUBLI,6,KILOGRAMO NETO,KN,true
00080200,"IMPRESOS,CATALOGOS,PROSPECTOS Y FOLLETOS PARA OBSEQUIO EN FERIAS INTERNAC.","IMPRESOS,CATALOGOS,PROSPECTOS Y FOLLETOS PARA OBSEQUIO EN FERIAS INTERNAC.",6,KILOGRAMO NETO,KN,true
00090100,EQUIPAJE DE VIAJERO,EQUIPAJE DE VIAJERO,6,KILOGRAMO NETO,KN,true
00090200,MERCANCIAS DE VIAJEROS PROVENIENTES ZF.O EXTENSION HASTA US$ 1000 FOB,MERCANCIAS DE VIAJEROS PROVENIENTES ZF.O EXTENSION HASTA US$ 1000 FOB,6,KILOGRAMO NETO,KN,true
00090300,MERC. QUE PORTEN LOS VIAJEROS CON RESIDENCIA EN LOC. FRONTERIZAS HASTA US$150,MERC. QUE PORTEN LOS VIAJEROS CON RESIDENCIA EN LOC. FRONTERIZAS HASTA US$150,6,KILOGRAMO NETO,KN,true
00090400,MENAJE Y/O UTILES DE TRABAJO DE CHILENOS.,MENAJE Y/O UTILES DE TRABAJO DE CHILENOS.,6,KILOGRAMO NETO,KN,true
00090401,MENAJE DE CHILENOS CON PERMANENCIA DE 6 MESES A 1 A\O EN EL EXTRANJ. HASTA 500,MENAJE DE CHILENOS CON PERMANENCIA DE 6 MESES A 1 A\O EN EL EXTRANJ. HASTA 500,6,KILOGRAMO NETO,KN,true
00090402,MENAJE Y/O UTILES DE CHILEN.CON MAS DE 1 A 5 A\OS EN EL EXTRANJ. HASTA 3000 F.,MENAJE Y/O UTILES DE CHILEN.CON MAS DE 1 A 5 A\OS EN EL EXTRANJ. HASTA 3000 F.,6,KILOGRAMO NETO,KN,true
00090403,MENAJE Y/O UTILES DE CHILEN.CON MAS DE A\OS EN EL EXTRANJ. HASTA 5000 FOB.,MENAJE Y/O UTILES DE CHILEN.CON MAS DE A\OS EN EL EXTRANJ. HASTA 5000 FOB.,6,KILOGRAMO NETO,KN,true
00090501,MENAJE HASTA US$ 5000 FOB DE EXTRANJ C/VISA RESIDENCIA TEMPORAL O CONTRAT. TRA,MENAJE HASTA US$ 5000 FOB DE EXTRANJ C/VISA RESIDENCIA TEMPORAL O CONTRAT. TRA,6,KILOGRAMO NETO,KN,true
00090502,UTILES DE TRABAJO HASTA POR UN VALOR DE US$ 1500 FOB.,UTILES DE TRABAJO HASTA POR UN VALOR DE US$ 1500 FOB.,6,KILOGRAMO NETO,KN,true
