code,name,description,print_label,is_active
1,TONELADA METRICA BRUTA,TONELADA METRICA BRUTA,TMB,true
2,QUINTAL METRICO BRUTO,QUINTAL METRICO BRUTO,QMB,true
3,1000 KILOWATT HORA,1000 KILOWATT HORA,MKWH,true
4,TONELADA METRICA NETA,TONELADA METRICA NETA,TMN,true
5,KILATE,KILATE,KLT,true
6,KILOGRAMO NETO,KILOGRAMO NETO,KN,true
7,GRAMO,GRAMO,GN,true
8,HECTOLITRO,HECTOLITRO,HL,true
9,LITRO,LITRO,LT,true
10,UNIDAD,UNIDAD,U,true
11,DOCENA,DOC,DOC,true
12,CENTENA,CENT,U(JGO),true
13,1000 UNIDADES,1000 UNIDADES,MU,true
14,METRO LINEAL,METRO LINEAL,MT,true
15,METRO CUADRADO,METRO CUADRADO,MT2,true
16,METRO CÚBICO,METRO CÚBICO,MT3,true
17,PAR,PAR,2U,true
18,KNFC,KNFC,KNFC,true
19,CARTON,CARTON,CARTON,true
20,KILOWATTS-HORA,KILOWATTS-HORA,KWH,true
21,KL,KL,KL,true
22,"GALON(3,785 LTS)","GALON(3,785 LTS)",GL,true
23,BAR,BAR,BAR,true
24,M2/1 MM,M2/1 MM,M2/1 MM,true
25,LIBRA,LIBRA,LIBRA N,true
26,GRUESA,GRUESA,GSA,true
27,RESMA,RESMA,RMA,true
28,YARDA,YARDA,YD,true
29,PIE LINEAL,PIE LINEAL,PIE,true
30,PIE CUBICO,PIE CUBICO,P3,true
31,PULGADA LINEAL,PULGADA LINEAL,PUL,true
32,QUINTAL METRICO NETO,QUINTAL METRICO NETO,QMN,true
33,SET,SET,SET,true
34,PIE CUADRADO,PIE CUADRADO,P2,true
35,BRAZA,BRAZA,BR,true
36,KILOGRAMO BRUTO,KILOGRAMO BRUTO,KB,true
48,22,22,22,true
99,SIN UNIDAD DE MEDIDA,SIN UNIDAD DE MEDIDA,SIN UNI,true
